# Document parsed from: List_of_Business_Partners.xlsx

## Page 1

|#|BP Code|DSL Code|Old SAP Code|Group|District|BP Name|Tem Suspended|BP Type|Contact Person|Other Name|Price List|Route Code|Town|Adress|Federal Tax ID|
|163|ELCA10163|C14035|C14062|100|Colombo|HAWAI MOTORS|N|C|MR.M.S.M HAKEEM||Wholesale Price|R01 - Colombo|Colombo 14|||
|164|ELCA10164|C15004|C15004|100|Colombo|CEYLON OXYGEN LIMITED|N|C|MR.A RATHNAYAKA||Wholesale Price|R01 - Colombo|MUTHURAJAWELA||294000143-7000|
|165|ELCA10165|C15015|C15015|100|Colombo|CTB MATTAKKULIYA DEPOT|Y|C|||Wholesale Price|R01 - Colombo|Colombo 15||409006671-7000|
|166|ELCA10166|APA032|COA0019|100|Anuradhapura|WASANTHA MOTORS|N|C|MR. W\.V. RATHNAPALA||Wholesale Price||Anuradhapura|||
|167|ELCA10167|COA018|COA013|100|Colombo|RANJANA TRADE CENTRE|N|C|MR.JANATHUNGA||Wholesale Price|R02 - Nugegoda|Athurugiriya|||
|168|ELCA10168|COA001|COA018|100|Colombo|GALLE MOTORS|N|C|MR.MAHINDA||Wholesale Price|R02 - Nugegoda|Athurugiriya|||
|169|ELCA10169|COA019|COA019|100|Colombo|CTB ANGODA|Y|C|MR.WASANTHA||Wholesale Price|R02 - Nugegoda|Angoda||409006671-7000|
|170|ELCA10170|COA020|COA020|100|Colombo|CTB AWISSAWELLA DEPOT|N|C|||Wholesale Price|R06 - Ruwanwella|Avissawella||409006671-7000|
|171|ELCA10171|COA016|COA040|100|Colombo|IRAHANDA MOTORS|N|C|MR.HETTIARACHCHI||Wholesale Price|R02 - Nugegoda|Angoda|||
|172|ELCA10172|COA041|COA041|100|Colombo|DAVID MOTOR HOUSE|Y|C|MR. K.L.K. WIJETHUNGA||Wholesale Price|R06 - Ruwanwella|Avissawella|||
|173|ELCA10173|COA045|COA045|100|Colombo|S.L.T.B AVISSAWELLA DEPOT|Y|C|||Wholesale Price|R06 - Ruwanwella|Avissawella||409006671-7000|
|174|ELCA10174|COA044|COA056|100|Colombo|NALIN MOTORS|N|C|MR.NALIN PRASANNA||Wholesale Price|R06 - Ruwanwella|Avissawella|||
|175|ELCA10175|COB017|COB017|100|Colombo|PRASANNA MORTOR TRADERS|N|C|MR. I.W\.M. PRASANNA INDRAJITH||Wholesale Price|R03 - Piliyandala|Boralesgamuwa|||
|176|ELCA10176|COB024|COB024|100|Colombo|IROMASH MOTORS|N|C|MR.W\.I DAMITH||Wholesale Price|R03 - Piliyandala|Boralesgamuwa|||
|177|ELCA10177|COB005|COB042|100|Colombo|EDIRISINGHE MOTOR HOUSE|N|C|MR.CHATHURA||Wholesale Price|R03 - Piliyandala|Boralesgamuwa|||
|178|ELCA10178|KDP025|COB045|100|Kandy|Duminda Motors|Y|C|P.K.D. Prasad||Wholesale Price||Pilimathalawa|||
|179|ELCA10179|COD018|COD018|100|Colombo|EBERT SILVA TOURING CO(PVT)LTD|N|C|MR. A.R.E.DE SILVA||Wholesale Price|R04 - Panadura|Dehiwala|||
|180|ELCA10180|COD019|COD019|100|Colombo|G T I INTERNATIONAL (PVT) LTD|N|C|||Wholesale Price|R04 - Panadura|Dehiwala|||
|181|ELCA10181|COD011|COD039|100|Colombo|IDL MOTORS|N|C|MR.N.L.KUMARASIRI.||Wholesale Price|R04 - Panadura|Dehiwala|||
|182|ELCA10182|COG006|COG006|100|Colombo|A.I.N MOTORS|N|C|MR.I NISHANTHA||Wholesale Price||Godagama||100995093|
|183|ELCA10183|COH040|COH014|100|Colombo|WERAGALA MOTORS|N|C|COH014||Wholesale Price|R02 - Nugegoda|Homagama|||
|184|ELCA10184|COH004|COH015|100|Colombo|NEW LEYLAND MOTORS SPEARES|N|C|||Wholesale Price|R02 - Nugegoda|Homagama|||
|185|ELCA10185|COH018|COH018|100||CTB HOMAGAMA DEPOT|Y|C|COH014||Wholesale Price|R02 - Nugegoda|||409006671-7000|
|186|ELCA10186|COH030|COH030|100|Colombo|LUCKY AUTO HOUSE|N|C|MR. R.A. DANAPALA||Wholesale Price|R06 - Ruwanwella|Hanwella|||
|187|ELCA10187|COH039|COH050|100|Colombo|FASCO LANKA AUTO SPARES (PVT)|N|C|P.J. MADDUMA LIYANAGE||Wholesale Price|R06 - Ruwanwella|Hanwella|||
|188|ELCA10188|COH041|COH064|100||UNO MOTORS|N|C|COH064||Wholesale Price|R05 - Kaduwela||||
|189|ELCA10189|KLM031|COK0058|100|Kalutara|KUMARA MOTORS|N|C|MR.W\.D.S.K.RODROGO||Wholesale Price||Mathugama|||
|190|ELCA10190|COK002|COK0073|100|Colombo|LUCKY AUTO SPARES(PVT)LTD.|N|C|B.S.RANATHUNGE.||Wholesale Price|R05 - Kaduwela|Kaduwela|||
|191|ELCA10191|COK001|COK022|100|Colombo|AMILA MOTOR STORES|N|C|MR.PERERA||Wholesale Price|R02 - Nugegoda|Kottawa|||
|192|ELCA10192|COK024|COK027|100|Colombo|SAMEERA MOTOR TRADERS|N|C|MR.KUMARA||Wholesale Price|R02 - Nugegoda|Kottawa|||
|193|ELCA10193|COK032|COK032|100|Colombo|CTB Katubedda|N|C|MR. K.R.S. KUMARA||Wholesale Price|R02 - Nugegoda|Kottawa||409006671-7000|
|194|ELCA10194|COK077|COK091|100|Colombo|SUBASINGHE MOTORS|Y|C|COK091||Wholesale Price|R05 - Kaduwela|Kaduwela|||
|195|ELCA10195|COM079|COM0079|100|Colombo|CTB Maharagama|Y|C|||Wholesale Price|R02 - Nugegoda|Maharagama||409006671-7000|
|196|ELCA10196|COM080|COM019|100|Colombo|DHINUCO AUTOMOTIVES (PVT) LTD|Y|C|MR.M DHARMASENA||Wholesale Price|R02 - Nugegoda|Maharagama|||
|197|ELCA10197|COM001|COM031|100|Colombo|DINUDI MOTOR TRADERS|N|C|||Wholesale Price|R02 - Nugegoda|Maharagama|||
|198|ELCA10198|COM041|COM041|100|Colombo|CTB MORATUWA DEPOT|N|C|||Wholesale Price|R02 - Nugegoda|Maharagama||409006671-7000|
|199|ELCA10199|COM042|COM042|100|Colombo|CTB MEETHOTAMULLA DEPOT|N|C|||Wholesale Price|R01 - Colombo|Meethotamulla||409006671-7000|
|200|ELCA10200|COM039|COM079|100|Colombo|TILAN MOTORS.|N|C|H.A.A.LAYANAL||Wholesale Price|R02 - Nugegoda|Maharagama|||
|201|ELCA10201|COM081|COM081|100||S.L.T.B MAHARAGAMA DEPOT|N|C|H.A.A.LAYANAL||Wholesale Price||||409006671-7000|
|202|ELCA10202|COM006|COM085|100|Colombo|TATA LEYLAND MOTORS|N|C|MR.HARSHANA||Wholesale Price|R02 - Nugegoda|Maharagama|||
|203|ELCA10203|COM004|COM090|100|Colombo|NEW LEYLAND MOTORS|N|C|MR.PREMATHILAKA||Wholesale Price|R02 - Nugegoda|Meegoda|||
|204|ELCA10204|COM011|COM102|100|Colombo|THUSHARA AUTO PARTS (PVT) LTD|N|C|MR.THUSHARA.||Wholesale Price|R02 - Nugegoda|Meegoda||102757084-7000|
|205|ELCA10205|COM017|COM110|100|Colombo|CEYLON MOTOR HOUSE|Y|C|MR.SAMEERA||Wholesale Price|R02 - Nugegoda|Malabe|||
|206|ELCA10206|COM030|COM124|100|Colombo|MANGALA MOTORS|N|C|MR.MANGALA||Wholesale Price|R02 - Nugegoda|Maharagama|||
|207|ELCA10207|CON029|CON029|100|Colombo|S.L.T.B UDAHAMULLA DEPOT|Y|C|||Wholesale Price|R02 - Nugegoda|Nugegoda||409006671-7000|
|208|ELCA10208|CON030|CON030|100|Colombo|AUTO SHINE (PVT) LTD|N|C|CON030||Wholesale Price|R02 - Nugegoda|Nugegoda|||
|209|ELCA10209|COP003|COP003|100|Colombo|LANKA ASHOK LEYLAND LTD|N|C|||Wholesale Price|R02 - Nugegoda|Panagoda||134000210-7000|
|210|ELCA10210|COP004|COP031|100||HIRAN MOTOR TRADERS|N|C|CON030||Wholesale Price|R02 - Nugegoda|||134000210-7000|
|211|ELCA10211|COP002|COP041|100|Colombo|CHARITH MOTOR TRADERS|N|C|H.R.G.PIRIS||Wholesale Price|R03 - Piliyandala|Piliyandala|||
|212|ELCA10212|COP047|COP046|100|Colombo|NEW RANAWEERA MOTORS|N|C|MR.SUJEEWA||Wholesale Price|R02 - Nugegoda|Pannipitiya|||
|213|ELCA10213|COP061|COP061|100|Colombo|LAL & SAMAN MOTOR DEALERS|N|C|||Wholesale Price|R03 - Piliyandala|Piliyandala|||
|214|ELCA10214|COP037|COP112|100|Colombo|ZZMARUTI LANKA (PVT) LTD.|Y|C|MR.PALLEMULLA||Wholesale Price|R03 - Piliyandala|Piliyandala|||
|215|ELCA10215|COP039|COP114|100|Colombo|LOCHANA MOTORS|N|C|MR.C.KODITHUWAKKU||Wholesale Price|R03 - Piliyandala|Piliyandala|||
|216|ELCA10216|COP077|COP147|100|Colombo|ZYBUDDHI AUTO HOUSE(LOD)|Y|C|MR.B PRASANNA KUMARA||Wholesale Price|R06 - Ruwanwella|Puwakpitiya|||
|217|ELCA10217|COR018|COR018|100|Colombo|CTB RATHMALANA DEPOT|Y|C|||Wholesale Price|R04 - Panadura|Rathmalana||409006671-7000|
|218|ELCA10218|COR021|COR021|100|Colombo|IDEAL MOTORS (PVT) LTD|N|C|MR. CHAMINDA WANIGASEKARA||Wholesale Price|R04 - Panadura|Rathmalana|||
|219|ELCA10219|COR025|COR025|100|Colombo|SWEDISH TRADING CO. PVT LTD.|N|C|MR. D. SENANAYAKA||Wholesale Price|R04 - Panadura|Rathmalana|||
|220|ELCA10220|COT008|COT008|100|Colombo|S.L.T.B THALANGAMA DEPOT|Y|C|RUCHIRA||Wholesale Price|R02 - Nugegoda|Thalangama||409006671-7000|
|221|ELCA10221|COU002|COU002|100|Colombo|CTB UDAHAMULLA DEPOT|N|C|||Wholesale Price|R02 - Nugegoda|Udahamulla||409006671-7000|
|222|ELCA10222|DSL001|DSL001|100||DOUGLAS & SONS (PVT)LTD|Y|C|||Wholesale Price||||104062326-7000|
|223|ELCA10223|EKW001|EKY001|100|Colombo|EKWAY LANKA (PVT) LTD|N|C|||Wholesale Price|R01 - Colombo|Colombo 10|||
|224|ELCA10224|GLA004|GLA004|100|Galle|PRIYANTHA MOTORS|N|C|WICKRAMARATHNA||Wholesale Price||Akmeemana|||
|225|ELCA10225|MTD012|GLA007|100|Matara|WIJESURIYA MOTORS|N|C|||Wholesale Price||Dickwella|||
|226|ELCA10226|GLA009|GLA009|100|Galle|CTB AMBALANGODA DEPOT|N|C|||Wholesale Price||Ambalangoda||409006671-7000|
|227|ELCA10227|GLB003|GLB014|100|Galle|THUSITHA ENGINEERING|N|C|MR.THUSITHA||Wholesale Price||Batapola|||
|228|ELCA10228|GLB014|GLB019|100|Galle|SUPREME OIL MART|N|C|MR.J.T.D.NALAKA||Wholesale Price||Baddegama|||
|229|ELCA10229|GLE001|GLE004|100|Galle|RUHUNU MOTOR STORES|N|C|K.NALAKA||Wholesale Price||Elpitiya|||
|230|ELCA10230|GLE004|GLE006|100|Galle|ASIRI TYRE TRADERS|N|C|SISIRA||Wholesale Price||Ethumale|||
|231|ELCA10231|GLE005|GLE009|100|Galle|D.M AUTO A/C.|Y|C|MR.SILVA||Wholesale Price||Elpitiya|||
|232|ELCA10232|GLE011|GLE011|100|Galle|S.L.T.B. ELPITIYA - DEPOT|Y|C|||Wholesale Price||Elpitiya||409006671-7000|
|233|ELCA10233|GLE021|GLE013|100|Galle|S.M.MOTORS|N|C|MR.S.C.MALLAWAARACHI||Wholesale Price||Elpitiya|||
|234|ELCA10234|GLG003|GLG0024|100|Galle|GALLE MOTOR STORES|N|C|MR.M.D.SUDATH SANJAYA||Wholesale Price||Galle|||
|235|ELCA10235|GLG001|GLG0031|100|Galle|NAVIMANA MOTORS (PVT)LTD|N|C|GLG0031||Wholesale Price||Galle|||
|236|ELCA10236|GLG005|GLG0032|100|Galle|ZZGALLE MOTOR HOUSE|Y|C|||Wholesale Price||Galle|||
|237|ELCA10237|GLG034|GLG0034|100|Galle|N.C.C MARINE TRADING|Y|C|GLG0034||Wholesale Price||Galle|||
|238|ELCA10238|GLG017|GLG012|100|Galle|NIRIELLA MOTORS|N|C|MR.HARISCHANDRA||Wholesale Price||Galle|||
|239|ELCA10239|GLG019|GLG019|100|Galle|S.L.T.B GALLE DEPOT|Y|C|||Wholesale Price||Galle||409006671-7000|
|240|ELCA10240|GLG004|GLG023|100|Galle|GALLE VALCANIZING WORKS|N|C|MR.MASAKORALA||Wholesale Price||Galle|||
|241|ELCA10241|GLG029|GLG029|100|Galle|CTB Regional Office - Galle|N|C|||Wholesale Price||Galle||409006671-7000|
|242|ELCA10242|GLG032|GLG032|100|Galle|S.L.T.B GALLE DEPOT|N|C|||Wholesale Price||Galle||409006671-7000|
|243|ELCA10243|GLG033|GLG033|100|Galle|INDUSARA MOTORS|N|C|GLG033||Wholesale Price||Galle|||
|244|ELCA10244|GLG013|GLG035|100|Galle|SANJEEWA ENTERPRISES|N|C|MR.SANJEEWA||Wholesale Price||Galle|||
|245|ELCA10245|GLG014|GLG039|100|Galle|LEYLAND MOTORS|N|C|MR.P KUMARA||Wholesale Price||Galle|||
|246|ELCA10246|GLG077|GLG077|100|Galle|ISURU AUTO TRADING (PVT) LTD|Y|C|MR.CHAMINDA||Wholesale Price||Galle|||
|247|ELCA10247|GLH007|GLH007|100||A B C.Mart|N|C|||Wholesale Price|||||
|248|ELCA10248|GLH008|GLH008|100|Galle|JAYASINGHE BATTERY SALE|Y|C|GLH008||Wholesale Price||Hikkaduwa|||
|249|ELCA10249|GLI004|GLI008|100||CHANDANA MOTORS|N|C|GLI008||Wholesale Price|||||
|250|ELCA10250|GLK005|GLK005|100|Galle|S.L.T.B KOGGALA DEPOT|Y|C|||Wholesale Price||Koggala||409006671-7000|
|251|ELCA10251|GLN001|GLN0001|100|Galle|DISNA TYRE CENTRE|N|C|MR. UPALI CHANDASIRI||Wholesale Price||Neluwa|||
|252|ELCA10252|GLN005|GLN0002|100|Galle|PARAKRAMA MOTORS|Y|C|MR.EMIL PARAKRAMA||Wholesale Price||Neluwa|||
|253|ELCA10253|GLN002|GLN002|100||DISNA TYRE CENTRE|N|C|MR. L.G.U CHANDRASIRI||Wholesale Price|||||
|254|ELCA10254|GLT004|GLT0003|100|Galle|NEW SIRILAKA MOTORS|N|C|MR.L.I TRIMAVITHANA||Wholesale Price||Thalagaswala|||
|255|ELCA10255|GLU004|GLU004|100|Galle|CTB UDUGAMA DEPOT|Y|C|||Wholesale Price||Udugama Depot||409006671-7000|
|256|ELCA10256|GLW002|GLW002|100|Galle|SANJEEWA MOTOR SUPPLIER|N|C|MR.K SANJEEWA||Wholesale Price||Galle|||
|257|ELCA10257|GLW013|GLW013|100|Matara|ZYS.L MOTORS|Y|C|MR.D.P ABEYSEKARA||Wholesale Price||Weligama|||
|258|ELCA10258|GMB001|GMB005|100|Colombo|INWA AUTOMOTIVES|N|C|MR.PERERA||Wholesale Price|R05 - Kaduwela|Bandarawatta Biyagama|||
|259|ELCA10259|GMB004|GMB014|100|Colombo|ABEYWICKRAMA MOTOR HOUSE|Y|C|MR.NALIN||Wholesale Price|R05 - Kaduwela|Bandarawatta Biyagama|||
|260|ELCA10260|GMD011|GMD003|100|Gampaha|RANATUNGA TRADERS|N|C|MR.DULIP||Wholesale Price|R10 - Pannala|Divulapitiya|||
|261|ELCA10261|GMD012|GMD012|100|Gampaha|CTB DIVULAPITIYA DEPOT|N|C|MR. MANJULA||Wholesale Price|R10 - Pannala|Divulapitiya||409006671-7000|
|262|ELCA10262|GMD001|GMD015|100|Gampaha|WIJAYAMINI MOTORS|N|C|||Wholesale Price|R10 - Pannala|Divulapitiya|||
|263|ELCA10263|GMG002|GMG036|100|Gampaha|S.J MOTOR TRADERS|N|C|MR SAMAN||Wholesale Price|R08 - Gampaha|Gampaha|||
|264|ELCA10264|GMG024|GMG057|100|Gampaha|ARUNA TRADERS|N|C|MR.L.K ARUNA KUMARA PERERA||Wholesale Price|R08 - Gampaha|Gampaha|||
|265|ELCA10265|GMG023|GMG062|100|Gampaha|S.L.T.B GAMPAHA REGIONAL OFFIC|Y|C|||Wholesale Price|R08 - Gampaha|Gampaha||409006671-7000|
|266|ELCA10266|GMH006|GMH0006|100|Gampaha|GALWA MOTORS|N|C|MR.SAMEERA DESHAPPRIYA||Wholesale Price|R05 - Kaduwela|Heiyanthuduwa|||
|267|ELCA10267|GMH002|GMH006|100|Colombo|ZZSADEERA MOTORS|Y|C|MR.L.HAPANGAMA||Wholesale Price|R05 - Kaduwela|Heyyanthuduwa|||
|268|ELCA10268|GMJ009|GMJ009|100|Gampaha|CTB EKALA DEPOT|N|C|||Wholesale Price|R09 - Negombo|Jaela||409006671-7000|
|269|ELCA10269|GMJ010|GMJ010|100|Gampaha|CTB REGONAL OFFICE|N|C|||Wholesale Price|R09 - Negombo|Jaela||409006671-7000|
|270|ELCA10270|GMJ013|GMJ011|100|Gampaha|XAVIER AUTO PARTS|N|C|MR. K.V.A.A.C PERERA||Wholesale Price|R09 - Negombo|Ja-Ela|||
|271|ELCA10271|GMJ007|GMJ014|100|Gampaha|AHANGAMA AUTO TRADERS.|Y|C|MR.SILVA||Wholesale Price|R09 - Negombo|Ja-Ela|||
|272|ELCA10272|GMJ003|GMJ030|100|Gampaha|S.S.MOTORS|N|C|MR.RANASINGHE||Wholesale Price|R09 - Negombo|Ja-Ela|||
|273|ELCA10273|GMK001|GMK0042|100|Gampaha|PATHMA MOTOR STORES (PVT) LTD|N|C|MR.SUBASINGHA||Wholesale Price|R07 - Kadawatha|Kadawatha||174905118-7000|
|274|ELCA10274|GMK085|GMK0085|100|Gampaha|TANTRI TRAILERS (PVT) LTD|N|C|MR. D.J HAPUTHANTRI||Wholesale Price|R05 - Kaduwela|Kelaniya||114074233-7000|
|275|ELCA10275|GMK030|GMK030|100|Gampaha|H P L TRANSPORTERS|N|C|||Wholesale Price|R05 - Kaduwela|Kelaniya||409400523-7000|
|276|ELCA10276|GMK066|GMK066|100|Gampaha|DUTCH LANKA ENGINEERING(Pvt) Ltd|Y|C|||Wholesale Price|R05 - Kaduwela|Kelaniya||114190551-7000|
|277|ELCA10277|GMK070|GMK070|100|Gampaha|IZUMI AUTO SUPPLY PVT LTD|N|C|MR. B.G.A DHARMATHILAKA||Wholesale Price|R07 - Kadawatha|Kadawatha|||
|278|ELCA10278|GMK007|GMK075|100|Colombo|NIROSH AUTO ENGINEERING(PVT) L|N|C|MR.PRADEEP||Wholesale Price|||||
|279|ELCA10279|GMK028|GMK082|100||PRASAD MOTORS|N|C|MR.K.M.P.ARIYARATHNA||Wholesale Price|R08 - Gampaha|||114190551-7000|
|280|ELCA10280|GMK033|GMK085|100|Gampaha|ANURADHA AUTO CENTRE|N|C|MR.ANURANGA FERNANDO||Wholesale Price|R09 - Negombo|Katana|||
|281|ELCA10281|GMK098|GMK098|100|Gampaha|MULTI SHOP|N|C|GMK098||Wholesale Price||Kotadeniyawa|||
|282|ELCA10282|GMK002|GMK117|100|Gampaha|S.G LANKA ENTERPRISES|N|C|MR.DAMMIKA||Wholesale Price|R07 - Kadawatha|Kadawatha||703462995-7000|
|283|ELCA10283|GMK006|GMK122|100|Gampaha|ALIGHT MOTORS|N|C|||Wholesale Price|R09 - Negombo|Kochchikade|||
|284|ELCA10284|GMK015|GMK168|100|Gampaha|ANRITA MOTORS|N|C|||Wholesale Price|R09 - Negombo|Kochchikade|||
|285|ELCA10285|GMK096|GMK177|100|Gampaha|MAS LANKA|N|C|MR.SAK AHMED||Wholesale Price|R08 - Gampaha|Kalagedihena|||
|286|ELCA10286|GMK025|GMK185|100|Gampaha|RANDENIYA MOTORS|Y|C|MRS.M.V.D.M.J.THUSHARI||Wholesale Price|R07 - Kadawatha|Kadawatha|||
|287|ELCA10287|GMK029|GMK189|100|Gampaha|RATHNAYAKA MOTORS|N|C|MR.H.H.C.K.HEWAWASAM||Wholesale Price|R08 - Gampaha|Kirindiwela|||
|288|ELCA10288|GMK055|GMK194|100|Gampaha|C.R.LANKA AUTO MART|Y|C|MR.R.RANASINGHE||Wholesale Price|R05 - Kaduwela|Kelaniya|||
|289|ELCA10289|GMK097|GMK217|100|Gampaha|RO RO ENTERPRISES|N|C|MR.UPUL DAMUNUPOLA||Wholesale Price|R10 - Pannala|Kotugoda|||
|290|ELCA10290|GMM013|GMM020|100|Gampaha|WEERARATHNA MOTORS (PVT) LTD|N|C|MR.RATHNASIRI||Wholesale Price|R10 - Pannala|Minuwangoda|||
|291|ELCA10291|GMM029|GMM022|100|Gampaha|SHAN MOTORS|Y|C|MR. H.M. NAWFER||Wholesale Price|R10 - Pannala|Minuwangoda|||
|292|ELCA10292|GMM033|GMM033|100|Gampaha|L.R MOTORS & TYRE CENTER|N|C|MR. R PROMODANI||Wholesale Price|R08 - Gampaha|Mirigama|||
|293|ELCA10293|GMM039|GMM039|100|Gampaha|LAKNADI MOTOR TRADERS|N|C|MR. E.A.A SANDAMADAWEE||Wholesale Price|R08 - Gampaha|Mirigama|||
|294|ELCA10294|GMM055|GMM055|100|Gampaha|KUMARA MOTORS|Y|C|MR.S.A.K JAYASHANTHA||Wholesale Price|R05 - Kaduwela|Makola|||
|295|ELCA10295|GMK094|GMM076|100|Gampaha|MAHINDA MOTORS|N|C|D.D. Mahinda Darmasiri||Wholesale Price|R05 - Kaduwela|Makola|||
|296|ELCA10296|GMM054|GMM100|100|Gampaha|RANJITH MOTOR SPARES|Y|C|MR.W\.G.R.P KUMARA||Wholesale Price|R05 - Kaduwela|Makola|||
|297|ELCA10297|GMN020|GMN020|100|Gampaha|CTB NEGAMBO DEPOT|N|C|||Wholesale Price|R09 - Negombo|Negembo||409006671-7000|
|298|ELCA10298|GMN021|GMN021|100||CTB NITTAMBUWA DEPOT|N|C|MR.W\.G.R.P KUMARA||Wholesale Price|R05 - Kaduwela|||409006671-7000|
|299|ELCA10299|GMN024|GMN024|100|Gampaha|JAYANTHA TRANSPORT SERVICES|N|C|MR. S.A.J SAKALASURIYA||Wholesale Price||Nittambuwa|||
|300|ELCA10300|GMN027|GMN027|100|Gampaha|SUMAIYA MOTOR STORES|N|C|||Wholesale Price|R08 - Gampaha|Nittambuwa|||
|301|ELCA10301|GMN029|GMN029|100|Gampaha|BOBY LANKA AUTO MART & SERVICE|N|C|W\.A.S.L. WIJERATHNE||Wholesale Price|R08 - Gampaha|Nittambuwa||101006042-7000|
|302|ELCA10302|GMN005|GMN034|100|Gampaha|ACHINI MOTORS|Y|C|MR.MARASINGHE||Wholesale Price|R08 - Gampaha|Nittambuwa|||
|303|ELCA10303|GMN053|GMN053|100|Gampaha|RAHEN MOTORS (PVT) LTD|Y|C|MR.R PERERA||Wholesale Price|R07 - Kadawatha|Ragama||102826582-7000|
|304|ELCA10304|GMP011|GMP011|100|Gampaha|ASSOCIATED MOTORWAYS PVT LTD|N|C|||Wholesale Price|R01 - Colombo|Paliyagoda|||
|305|ELCA10305|GMS001|GMS010|100|Gampaha|WIDUNI AUTO PARTS|N|C|MR.THILAKARATHNA||Wholesale Price|R09 - Negombo|Wattala|||
|306|ELCA10306|GMV001|GMV005|100|Gampaha|JAYASINGHE AUTO ENGINEERS|N|C|||Wholesale Price|R08 - Gampaha|Veyangoda|||
|307|ELCA10307|GMW018|GMW018|100|Gampaha|CTB WELISARA DEPOT|Y|C|||Wholesale Price|R09 - Negombo|Welisara||409006671-7000|
|308|ELCA10308|GMW019|GMW019|100|Gampaha|ACE CONTAINERS (PVT) LTD.|N|C|MR. RANIL||Wholesale Price|R09 - Negombo|Wattala|||
|309|ELCA10309|GMW022|GMW022|100|Gampaha|J D ENTERPRISES-CASH ONLY|N|C|MR. DAMMIKA||Wholesale Price|R09 - Negombo|Wattala|||
|310|ELCA10310|GMW027|GMW027|100|Gampaha|S S MOTOR STORES|N|C|||Wholesale Price|R01 - Colombo|Wattala|||
|311|ELCA10311|GMW009|GMW030|100|Gampaha|WATTALA AUTO HOUSE|N|C|MR.W\.RAVI||Wholesale Price|R01 - Colombo|Wattala|||
|312|ELCA10312|GMW005|GMW035|100|Gampaha|NOYELEE SERVICE & TYRE CENTER|N|C|MR.DIAS||Wholesale Price|R08 - Gampaha|Weliweriya|||
|313|ELCA10313|GMW001|GMW053|100|Gampaha|UDARA LEYLAND MOTORS|N|C|G.M.SAMAYAWARDANA.||Wholesale Price|R08 - Gampaha|Weliveriya|||
|314|ELCA10314|C01001|GMW070|100|Gampaha|SPECTRA LOGISTICS (PVT) LTD|N|C|MR. AJITH MANCHANAYAKA||Wholesale Price|R05 - Kaduwela|Kelaniya||114740004-7000|
|315|ELCA10315|HBA010|HBA010|100|Hambantota|ZZANURA MOTORS|Y|C|MR. W. ANURA||Wholesale Price||Ambalanthota|||
|316|ELCA10316|HBA014|HBA014|100|Hambantota|CHANDIMA MOTOR TRADERS|Y|C|H.R.D.RAJAPURA||Wholesale Price||Agunukolapelessa|||
|317|ELCA10317|HBA015|HBA015|100||S.L.T.B AMBALANTOTA DEPOT|Y|C|H.R.D.RAJAPURA||Wholesale Price||||409006671-7000|
|318|ELCA10318|HBA016|HBA016|100|Hambantota|ASIRI MOTORS STORES|N|C|MR.K.A.C.A SRILAL||Wholesale Price||Ambalanthota|||
|319|ELCA10319|HBB005|HBB005|100|Hambantota|CHANDANA MOTORS-CASH ONLY|N|C|MR. K.G.A. CHANDANA||Wholesale Price||Beliatta|||
|320|ELCA10320|HBB006|HBB006|100|Hambantota|DINRO MOTORS|Y|C|HBB006||Wholesale Price||Beliatta|||
|321|ELCA10321|HBB004|HBB009|100|Hambantota|BERTY AUTO MOTORS|N|C|||Wholesale Price||Beliatta|||
|322|ELCA10322|HBH001|HBH005|100|Hambantota|F.D.MOTORS|Y|C|T.H.SALAHUDEEN||Wholesale Price||Hambantota|||
|323|ELCA10323|MGK002|HBK003|100|Moneragala|KASABI MOTORS|N|C|MR. THILAKASIRI DISANAYAKA||Wholesale Price||Katharagama|||
|324|ELCA10324|HBK001|HBK005|100|Moneragala|SUMANA MOTOR STORES (PVT) LTD|N|C|MR.R.K.A.SUMANAPALA.||Wholesale Price||Katharagama|||
|325|ELCA10325|HBM007|HBM007|100|Hambantota|D.G.MOTORS & CAR AUDIO|N|C|MR.L.S.DILSHAN.||Wholesale Price||Middeniya|||
|326|ELCA10326|HBM006|HBM008|100|Hambantota|PATHIRANA MOTORS|Y|C|MR. SUDESH SANDAKELUM||Wholesale Price||Middeniya|||
|327|ELCA10327|HBR003|HBR003|100|Hambantota|GAMAGE MOTORS|Y|C|||Wholesale Price||Ranna|||
|328|ELCA10328|HBS001|HBS001|100|Hambantota|JAYANTHA SERVICE CENTER|N|C|MR.JAYANTHA WANNIGAMA||Wholesale Price||Sooriyawewa|||
|329|ELCA10329|HBT002|HBT002|100|Hambantota|SAYUMI MOTORS|N|C|MR.JAYANATH||Wholesale Price||Thangalla|||
|330|ELCA10330|HBT001|HBT007|100|Hambantota|KUSUM MOTOR STORES|Y|C|WEERARATHNA||Wholesale Price||Tissamaharama||409330673-7000|
|331|ELCA10331|HBT009|HBT009|100|Hambantota|CTB TANGALLE DEPOT|N|C|||Wholesale Price||Tangalle||409006671-7000|
|332|ELCA10332|HBT014|HBT014|100|Hambantota|KODITUWAKKU MOTOR|N|C|MR. SARATHCHANDRA||Wholesale Price||Tissamaharama|||
|333|ELCA10333|HBT023|HBT023|100|Hambantota|KELUM MOTORS|N|C|MR.T.A.K THUSHARA||Wholesale Price||Tissamaharama|||
|334|ELCA10334|HBT024|HBT024|100|Hambantota|KITHMINI MOTORS|N|C|MR.S.C.K PALIHAKKARA||Wholesale Price||Tissamaharama|||
