# Document parsed from: List_of_Business_Partners.xlsx

## Page 1

|#|BP Code|DSL Code|Old SAP Code|Group|District|BP Name|Tem Suspended|BP Type|Contact Person|Other Name|Price List|Route Code|Town|Adress|Federal Tax ID|
|41|ELCA10041|APG003|APG002|100|Anuradhapura|HALPAWATTA MOTORS|N|C|MR. H.A.N. DE SILVA||Wholesale Price||Galenbindunuwewa|||
|42|ELCA10042|APG005|APG005|100|Anuradhapura|RATHNAPALA TRADE CENTRE|N|C|MR. SUSANTHA JAYAKODY||Wholesale Price||Galnewa|||
|43|ELCA10043|APH003|APH003|100|Anuradhapura|NAFT MOTORS|N|C|MR. BAWA THAWFEEK||Wholesale Price||Horowpothana|||
|44|ELCA10044|APK013|APK013|100|Anuradhapura|S.L.T.B KEBITHIGOLLEWA DEPOT|N|C|||Wholesale Price||Kebithigollewa||409006671-7000|
|45|ELCA10045|APK014|APK014|100|Anuradhapura|S.L.T.B. KEKIRAWA DEPOT|Y|C|||Wholesale Price||Kekirawa||409006671-7000|
|46|ELCA10046|APK001|APK017|100|Anuradhapura|NEW RAJARATA MOTORS|N|C|MR.AKRAM||Wholesale Price||Kekirawa|||
|47|ELCA10047|APM005|APM005|100|Anuradhapura|CHAMI AND BROTHERS|N|C|MRS. R. DAYAWATHI||Wholesale Price||Medawachchiya|||
|48|ELCA10048|APN007|APN003|100|Anuradhapura|JAYABIMA MOTORS|N|C|||Wholesale Price||Nochchiyagama|||
|49|ELCA10049|APN002|APN007|100|Anuradhapura|SHAN MOTORS(VAJIRA ENTE.)|N|C|MR.WAJIRA||Wholesale Price||Nochchiyagama|||
|50|ELCA10050|APR004|APR004|100|Anuradhapura|S.L.T.B REGIONAL/OF RAJARATA|N|C|||Wholesale Price||Rajarata||409006671-7000|
|51|ELCA10051|APR002|APR005|100|Anuradhapura|A.V.P.MOTORS|N|C|MR.ABEKOON||Wholesale Price||Rambewa|||
|52|ELCA10052|APT009|APT004|100|Anuradhapura|SAMAN MOTORS (PVT) LIMITED|N|C|APT004||Wholesale Price||Thambuttegama|||
|53|ELCA10053|APT002|APT011|100|Anuradhapura|WARIYAPOLA MOTORS|N|C|MR.M.A.SUJITH||Wholesale Price||Thambuttegama|||
|54|ELCA10054|BDB001|BDB001|100|Badulla|HARSHANI MOTORS|N|C|||Wholesale Price||Badulla|||
|55|ELCA10055|BDB012|BDB012|100|Badulla|PODI PUTA MOTORS|Y|C|MR.ANURA||Wholesale Price||Badulla|||
|56|ELCA10056|BDB016|BDB016|100|Badulla|ARADHANA SPARES|N|C|MR. A.P.P.N. RATHNAPRIYA||Wholesale Price||Bandarawela|||
|57|ELCA10057|BDB020|BDB017|100|Badulla|H P L TRAVELS & MILLS|N|C|MR. H.P.L. SAMITH KUMARA||Wholesale Price||Badulla|||
|58|ELCA10058|BDB019|BDB019|100|Badulla|G T S HOLDINGS(PVT)LTD|Y|C|MR. C K BOPITIYA||Wholesale Price||Bandarawela|||
|59|ELCA10059|BDK001|BDB029|100|Badulla|ZZJANITH MOTORS|Y|C|MR. PRIYANTHA JAYASEKARA||Wholesale Price||Kandaketiya|||
|60|ELCA10060|BDB035|BDB035|100|Badulla|CTB BADULLA - REGONAL OFFICE|N|C|||Wholesale Price||Badulla||409006671-7000|
|61|ELCA10061|BDB036|BDB036|100|Badulla|CTB BADULLA DEPORT|Y|C|||Wholesale Price||Badulla||409006671-7000|
|62|ELCA10062|BDB037|BDB037|100|Badulla|CTB BANDARAWELA DEPOT|Y|C|||Wholesale Price||Bandarawela||409006671-7000|
|63|ELCA10063|BDB038|BDB038|100|Badulla|CTB Regional Office- Badulla|N|C|||Wholesale Price||Badulla||409006671-7000|
|64|ELCA10064|BDB043|BDB043|100|Badulla|Prema Motors C/O Ishara Motor|Y|C|||Wholesale Price||Bandarawela|||
|65|ELCA10065|BDB046|BDB046|100|Badulla|Uva Motors (321) - Badulla|N|C|||Wholesale Price||Badulla|||
|66|ELCA10066|BDB048|BDB048|100|Badulla|SUDEEPA MOTORS|Y|C|SURAJ ERANGA JAYASEKARA||Wholesale Price||Badulla|||
|67|ELCA10067|BDB049|BDB049|100|Badulla|S.L.T.B BADULLA DEPOT|N|C|||Wholesale Price||Badulla||409006671-7000|
|68|ELCA10068|BDB050|BDB050|100|Badulla|S.L.T.B BANDARAWELA DEPOT|N|C|||Wholesale Price||Bandarawela||409006671-7000|
|69|ELCA10069|BDB051|BDB051|100|Badulla|ARUNAKA MOTORS|N|C|BDB051||Wholesale Price||Bandarawela|||
|70|ELCA10070|BDK002|BDK002|100|Badulla|CTB KEPPETIPOLA|N|C|||Wholesale Price||Keppetipola||409006671-7000|
|71|ELCA10071|BDK003|BDK003|100|Badulla|S.L.T.B KEPPETIPOLA DEPOT|Y|C|||Wholesale Price||Keppetipola||409006671-7000|
|72|ELCA10072|BDK004|BDK004|100|Badulla|NEW S.M.T MOTORS|Y|C|||Wholesale Price||Keppetipola|||
|73|ELCA10073|BDM004|BDM004|100|Badulla|GANGA MOTORS|N|C|MR.RAHMATHULLA||Wholesale Price||Mahiyanganaya|||
|74|ELCA10074|BDM009|BDM009|100|Badulla|A.M.S. MOTORS|N|C|MR. A.M. SUNILANANDA||Wholesale Price||Mahiyanganaya|||
|75|ELCA10075|BDM017|BDM017|100|Badulla|CTB MAHIYANGANA|N|C|||Wholesale Price||Mahiyanganaya||409006671-7000|
|76|ELCA10076|BDM018|BDM018|100|Badulla|VICTOR MOTOR SERVICES|Y|C|||Wholesale Price||Mahiyanganaya|||
|77|ELCA10077|BDM019|BDM019|100|Badulla|S.L.T.B.MAHIYANGANAYA DEPOT|N|C|||Wholesale Price||Mahiyanganaya||409006671-7000|
|78|ELCA10078|BDN002|BDN002|100|Badulla|LIONAL MOTORS|N|C|MR.L WEERASINGHE||Wholesale Price||Nugathalawa|||
|79|ELCA10079|BDP002|BDP002|100|Badulla|JAYA LANKA STORES|N|C|MR.SMANTHA CHANDRA||Wholesale Price||Passara|||
|80|ELCA10080|BTB017|BTB002|100||PATHMAN MOTORS|N|C|MR.A.PATHMANADAN||Wholesale Price|||||
|81|ELCA10081|BTB002|BTB006|100||RAMAKRISHNA MOTOR STORES|N|C|MR.MURALIRAJAN||Wholesale Price|||||
|82|ELCA10082|BTB012|BTB008|100|Badulla|SASIS MOTOR STORES|N|C|MR.ARUMUGAM||Wholesale Price|||||
|83|ELCA10083|BTB015|BTB015|100|Badulla|WIJAYA MOTOR STORES|N|C|||Wholesale Price|||||
|84|ELCA10084|BTB016|BTB016|100|Batticaloa|CTB BATTICALOA|Y|C|||Wholesale Price||||409006671-7000|
